2022-07-12 17:03:43,913 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-07-12 17:03:43,960 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-07-12 17:03:43,960 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2022-07-12 17:03:43,960 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2022-07-12 17:03:43,960 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 201 - Setting up command manager
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 204 - Adding command manager
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 210 - Adding event handlers
2022-07-12 17:03:43,975 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-07-12 17:09:48,661 INFO  SwAddin.cs: 294 - Assembly export called for file VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,662 INFO  SwAddin.cs: 299 - Save is required
2022-07-12 17:09:48,662 INFO  SwAddin.cs: 313 - Saving assembly
2022-07-12 17:09:48,662 INFO  SwAddin.cs: 316 - Opening property manager
2022-07-12 17:09:48,662 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1136 - Found 23 in VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1136 - Found 91 in VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1136 - Found 23 in VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_218406_v20.9.6.1.9.40.2
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1136 - Found 91 in VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:48,678 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1
2022-07-12 17:09:51,561 INFO  SwAddin.cs: 339 - Loading config tree
2022-07-12 17:09:51,565 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-07-12 17:09:51,566 INFO  SwAddin.cs: 344 - Showing property manager
2022-07-12 17:10:40,049 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:10:52,736 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:11:45,853 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:12:01,901 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:12:41,636 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-07-12 17:12:41,918 ERROR ExportPropertyManager.cs: 227 - SolidWorks told us the resolve succeeded, but ModelDocs could not be obtained for: VentionAssembly_218406_v20.9.6.1.9.40.2.STEP-1/ST-PN-010-0004.STEP-1
2022-07-12 17:12:41,956 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:28:41,956 INFO  SwAddin.cs: 294 - Assembly export called for file VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,957 INFO  SwAddin.cs: 299 - Save is required
2022-07-12 17:28:41,957 INFO  SwAddin.cs: 313 - Saving assembly
2022-07-12 17:28:41,957 INFO  SwAddin.cs: 316 - Opening property manager
2022-07-12 17:28:41,958 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,958 INFO  ExportHelperExtension.cs: 1136 - Found 23 in VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,958 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,959 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-12 17:28:41,959 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-12 17:28:41,959 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:41,960 INFO  ExportHelperExtension.cs: 1136 - Found 90 in VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:41,961 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:41,961 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,962 INFO  ExportHelperExtension.cs: 1136 - Found 23 in VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,962 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_218406_v20.9.6.1.9.40.3
2022-07-12 17:28:41,963 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-12 17:28:41,963 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-12 17:28:41,963 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:41,964 INFO  ExportHelperExtension.cs: 1136 - Found 90 in VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:41,964 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_218406_v20.9.6.1.9.40.3.STEP-1
2022-07-12 17:28:44,569 INFO  SwAddin.cs: 339 - Loading config tree
2022-07-12 17:28:44,569 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-07-12 17:28:44,571 INFO  SwAddin.cs: 344 - Showing property manager
2022-07-12 17:28:54,020 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:29:06,185 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:29:07,281 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-07-12 17:30:17,458 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-07-12 17:30:25,250 INFO  ExportHelperExtension.cs: 347 - Creating joint plate_arm
2022-07-12 17:30:25,256 INFO  ExportHelperExtension.cs: 1397 - Fixing components for structure_vention
2022-07-12 17:30:25,257 INFO  ExportHelperExtension.cs: 1402 - Fixing 91
2022-07-12 17:30:25,258 INFO  ExportHelperExtension.cs: 1409 - Component 91 is already fixed
2022-07-12 17:30:25,258 INFO  ExportHelperExtension.cs: 1402 - Fixing 90
2022-07-12 17:30:25,259 INFO  ExportHelperExtension.cs: 1409 - Component 90 is already fixed
2022-07-12 17:30:25,259 INFO  ExportHelperExtension.cs: 1402 - Fixing 89
2022-07-12 17:30:25,259 INFO  ExportHelperExtension.cs: 1409 - Component 89 is already fixed
2022-07-12 17:30:25,260 INFO  ExportHelperExtension.cs: 1402 - Fixing 88
2022-07-12 17:30:25,261 INFO  ExportHelperExtension.cs: 1409 - Component 88 is already fixed
2022-07-12 17:30:25,261 INFO  ExportHelperExtension.cs: 1402 - Fixing 87
2022-07-12 17:30:25,262 INFO  ExportHelperExtension.cs: 1409 - Component 87 is already fixed
2022-07-12 17:30:25,262 INFO  ExportHelperExtension.cs: 1402 - Fixing 86
2022-07-12 17:30:25,262 INFO  ExportHelperExtension.cs: 1409 - Component 86 is already fixed
2022-07-12 17:30:25,262 INFO  ExportHelperExtension.cs: 1402 - Fixing 85
2022-07-12 17:30:25,263 INFO  ExportHelperExtension.cs: 1409 - Component 85 is already fixed
2022-07-12 17:30:25,263 INFO  ExportHelperExtension.cs: 1402 - Fixing 84
2022-07-12 17:30:25,263 INFO  ExportHelperExtension.cs: 1409 - Component 84 is already fixed
2022-07-12 17:30:25,264 INFO  ExportHelperExtension.cs: 1402 - Fixing 83
2022-07-12 17:30:25,264 INFO  ExportHelperExtension.cs: 1409 - Component 83 is already fixed
2022-07-12 17:30:25,264 INFO  ExportHelperExtension.cs: 1402 - Fixing 82
2022-07-12 17:30:25,264 INFO  ExportHelperExtension.cs: 1409 - Component 82 is already fixed
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1402 - Fixing 81
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1409 - Component 81 is already fixed
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1402 - Fixing 80
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1409 - Component 80 is already fixed
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1402 - Fixing 79
2022-07-12 17:30:25,265 INFO  ExportHelperExtension.cs: 1409 - Component 79 is already fixed
2022-07-12 17:30:25,266 INFO  ExportHelperExtension.cs: 1402 - Fixing 78
2022-07-12 17:30:25,266 INFO  ExportHelperExtension.cs: 1409 - Component 78 is already fixed
2022-07-12 17:30:25,266 INFO  ExportHelperExtension.cs: 1402 - Fixing 77
2022-07-12 17:30:25,266 INFO  ExportHelperExtension.cs: 1409 - Component 77 is already fixed
2022-07-12 17:30:25,267 INFO  ExportHelperExtension.cs: 1402 - Fixing 76
2022-07-12 17:30:25,267 INFO  ExportHelperExtension.cs: 1409 - Component 76 is already fixed
2022-07-12 17:30:25,267 INFO  ExportHelperExtension.cs: 1402 - Fixing 75
2022-07-12 17:30:25,268 INFO  ExportHelperExtension.cs: 1409 - Component 75 is already fixed
2022-07-12 17:30:25,268 INFO  ExportHelperExtension.cs: 1402 - Fixing 74
2022-07-12 17:30:25,268 INFO  ExportHelperExtension.cs: 1409 - Component 74 is already fixed
2022-07-12 17:30:25,268 INFO  ExportHelperExtension.cs: 1402 - Fixing 73
2022-07-12 17:30:25,269 INFO  ExportHelperExtension.cs: 1409 - Component 73 is already fixed
2022-07-12 17:30:25,269 INFO  ExportHelperExtension.cs: 1402 - Fixing 72
